分段ID,开始时间,结束时间,持续时长min,纳入统计分钟数,冻结风机数,重复风机功率之和MW,风机编号列表,原异常分钟数,修正后异常分钟数,异常分钟数变化量,原异常占比,修正后异常占比,异常占比变化量,原异常程度总和,修正后异常程度总和,异常程度变化量,异常程度下降率,原平均异常程度,修正后平均异常程度,原最大异常程度,修正后最大异常程度,原偏离程度总和,修正后偏离程度总和,偏离程度变化量,偏离程度下降率,原平均偏离程度,修正后平均偏离程度,原最大偏离程度,修正后最大偏离程度,原负损耗分钟数,修正后负损耗分钟数,站端功率重复硬异常分钟数,物理越限硬异常分钟数,风机联合重复标记分钟数,是否异常分钟减少,是否异常程度下降,是否偏离程度下降,是否全部修正为正常,重复详情
77,2024-02-29 11:17:00,2024-02-29 11:31:00,15,15,1,4.49449,33,0,15,15,0.0,1.0,1.0,0.0,5.04399,5.04399,,0.0,0.336266,0.0,0.545653,1.690856,13.256066,11.56521,-6.839856,0.112724,0.883738,0.343919,1.102002,0,0,0.0,0,15,False,False,False,False,"33[status=5.0,P=4494.49,WS=10.6]"
78,2024-02-29 11:32:00,2024-02-29 13:58:00,147,147,0,0.0,,5,5,0,0.034014,0.034014,0.0,0.565739,0.565739,-0.0,0.0,0.003849,0.003849,0.148544,0.148544,26.572421,26.572421,-0.0,0.0,0.180765,0.180765,0.676587,0.676587,0,0,0.0,0,0,False,True,True,False,
79,2024-02-29 13:59:00,2024-02-29 14:12:00,14,14,55,282.22531,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、20、21、22、23、24、25、26、27、28、30、31、32、33、34、35、36、37、38、39、40、41、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,5,14,9,0.357143,1.0,0.642857,0.0,75893.2604,75893.2604,,0.0,5420.947171,0.0,5429.4074,1.260977,75893.2604,75891.999423,-60185.065422,0.09007,5420.947171,0.176573,5429.4074,0,14,5.0,0,14,False,False,False,False,"1[status=5.0,P=4534.18,WS=12.3] 、 2[status=5.0,P=4452.23,WS=10.7] 、 3[status=5.0,P=4406.14,WS=10.93] 、 4[status=5.0,P=4523.94,WS=14.45] 、 5[status=5.0,P=4577.72,WS=12.68] 、 6[status=5.0,P=4562.35,WS=15.01] 、 7[status=5.0,P=4563.63,WS=15.01] 、 8[status=5.0,P=4585.4,WS=14.14] 、 9[status=5.0,P=4463.76,WS=12.68] 、 10[status=5.0,P=4631.5,WS=13.27] 、 11[status=5.0,P=4363.88,WS=10.73] 、 12[status=5.0,P=4284.49,WS=13.52] 、 13[status=5.0,P=4504.73,WS=15.23] 、 14[status=5.0,P=4386.93,WS=10.64] 、 15[status=5.0,P=4443.27,WS=14.04] 、 16[status=5.0,P=4608.45,WS=14.91] 、 17[status=5.0,P=4594.37,WS=12.66] 、 18[status=5.0,P=4570.04,WS=15.5] 、 20[status=5.0,P=4550.83,WS=14.51] 、 21[status=5.0,P=4566.2,WS=13.95] 、 22[status=5.0,P=4695.52,WS=13.57] 、 23[status=5.0,P=4529.06,WS=14.26] 、 24[status=5.0,P=4527.78,WS=15.14] 、 25[status=5.0,P=4491.93,WS=11.21] 、 26[status=5.0,P=4553.39,WS=15.49] 、 27[status=5.0,P=4658.39,WS=14.3] 、 28[status=5.0,P=4381.81,WS=10.82] 、 30[status=5.0,P=4372.84,WS=10.47] 、 31[status=5.0,P=4550.83,WS=11.82] 、 32[status=5.0,P=4463.76,WS=10.4] 、 33[status=5.0,P=4433.03,WS=10.55] 、 34[status=5.0,P=4577.72,WS=13.7] 、 35[status=5.0,P=4512.42,WS=14.46] 、 36[status=5.0,P=4509.85,WS=15.5] 、 37[status=5.0,P=4643.02,WS=11.38] 、 38[status=5.0,P=4470.16,WS=10.85] 、 39[status=5.0,P=6430.58,WS=16.05] 、 40[status=5.0,P=6507.4,WS=15.74] 、 41[status=5.0,P=6460.45,WS=12.69] 、 43[status=5.0,P=6526.19,WS=14.42] 、 44[status=5.0,P=6591.92,WS=13.65] 、 45[status=5.0,P=6521.92,WS=11.49] 、 46[status=5.0,P=6508.26,WS=13.66] 、 47[status=5.0,P=6500.58,WS=13.26] 、 48[status=5.0,P=6474.11,WS=12.57] 、 49[status=5.0,P=6477.53,WS=13.45] 、 50[status=5.0,P=6549.23,WS=12.56] 、 51[status=5.0,P=6509.97,WS=17.72] 、 52[status=5.0,P=6497.16,WS=13.31] 、 53[status=5.0,P=2488.4,WS=14.43] 、 54[status=5.0,P=6534.72,WS=14.34] 、 55[status=5.0,P=6598.75,WS=14.16] 、 56[status=5.0,P=6458.75,WS=13.43] 、 57[status=5.0,P=6491.19,WS=11.19] 、 58[status=5.0,P=6552.65,WS=14.87]"
80,2024-02-29 14:13:00,2024-03-02 05:15:00,2343,2343,0,0.0,,152,152,0,0.064874,0.064874,0.0,25.235813,25.235813,-0.0,0.0,0.010771,0.010771,1.059833,1.059833,421.493975,421.493975,0.0,-0.0,0.179895,0.179895,1.563081,1.563081,3,3,0.0,0,0,False,True,False,False,
81,2024-03-02 05:16:00,2024-03-02 05:30:00,15,15,54,70.73763,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、20、21、22、23、24、25、26、27、28、30、31、32、33、34、35、36、37、38、39、40、41、43、44、45、46、47、48、49、51、52、53、54、55、56、57、58,14,15,1,0.933333,1.0,0.066667,14.195976,20630.36168,20616.165704,-1452.254148,0.946398,1375.357445,2.114827,1456.3443,21.196262,20630.36168,20609.165418,-972.301879,1.413084,1375.357445,2.596503,1456.3443,5,15,0.0,0,15,False,False,False,False,"1[status=5.0,P=979.57,WS=5.78] 、 2[status=5.0,P=577.5,WS=4.75] 、 3[status=5.0,P=567.25,WS=4.81] 、 4[status=5.0,P=335.49,WS=4.03] 、 5[status=5.0,P=640.24,WS=4.78] 、 6[status=5.0,P=565.97,WS=4.71] 、 7[status=5.0,P=409.75,WS=4.71] 、 8[status=5.0,P=1222.86,WS=5.99] 、 9[status=5.0,P=1147.31,WS=5.97] 、 10[status=5.0,P=1535.3,WS=6.56] 、 11[status=5.0,P=1156.27,WS=6.03] 、 12[status=5.0,P=1357.31,WS=6.27] 、 13[status=5.0,P=1221.58,WS=6.05] 、 14[status=5.0,P=1454.63,WS=6.42] 、 15[status=5.0,P=1573.71,WS=6.86] 、 16[status=5.0,P=1669.75,WS=6.76] 、 17[status=5.0,P=1920.72,WS=6.93] 、 18[status=5.0,P=1267.68,WS=6.11] 、 20[status=5.0,P=852.8,WS=5.37] 、 21[status=5.0,P=400.79,WS=3.92] 、 22[status=5.0,P=258.66,WS=3.74] 、 23[status=5.0,P=562.13,WS=5.39] 、 24[status=5.0,P=851.52,WS=5.31] 、 25[status=5.0,P=1167.8,WS=5.91] 、 26[status=5.0,P=717.07,WS=4.92] 、 27[status=5.0,P=1099.93,WS=5.85] 、 28[status=5.0,P=1615.97,WS=6.55] 、 30[status=5.0,P=2005.23,WS=7.19] 、 31[status=5.0,P=1493.04,WS=6.36] 、 32[status=5.0,P=1295.85,WS=6.11] 、 33[status=5.0,P=1279.2,WS=6.28] 、 34[status=5.0,P=973.17,WS=5.68] 、 35[status=5.0,P=1263.83,WS=6.09] 、 36[status=5.0,P=1126.82,WS=5.94] 、 37[status=5.0,P=1537.86,WS=6.67] 、 38[status=5.0,P=1363.71,WS=6.4] 、 39[status=5.0,P=1105.48,WS=4.71] 、 40[status=5.0,P=885.24,WS=5.45] 、 41[status=5.0,P=1340.24,WS=5.95] 、 43[status=5.0,P=1703.04,WS=6.52] 、 44[status=5.0,P=1404.26,WS=6.43] 、 45[status=5.0,P=2199.01,WS=6.94] 、 46[status=5.0,P=1895.97,WS=6.19] 、 47[status=5.0,P=1213.9,WS=5.99] 、 48[status=5.0,P=2022.31,WS=7.81] 、 49[status=5.0,P=1889.99,WS=6.78] 、 51[status=5.0,P=1457.19,WS=6.97] 、 52[status=5.0,P=2189.62,WS=6.78] 、 53[status=5.0,P=1641.58,WS=6.91] 、 54[status=5.0,P=2974.13,WS=7.13] 、 55[status=5.0,P=1755.11,WS=6.89] 、 56[status=5.0,P=2113.65,WS=6.89] 、 57[status=5.0,P=1428.16,WS=6.36] 、 58[status=5.0,P=2050.48,WS=6.87]"
82,2024-03-02 05:31:00,2024-03-02 05:31:00,1,1,19,32.63307,38、39、40、41、43、44、45、46、47、48、49、51、52、53、54、55、56、57、58,1,1,0,1.0,1.0,0.0,1.973819,17.018841,15.045022,-7.622292,1.973819,17.018841,1.973819,17.018841,2.463065,17.543277,15.080212,-6.12254,2.463065,17.543277,2.463065,17.543277,0,1,0.0,0,1,False,False,False,False,"38[status=5.0,P=1363.71,WS=6.4] 、 39[status=5.0,P=1105.48,WS=4.71] 、 40[status=5.0,P=885.24,WS=5.45] 、 41[status=5.0,P=1340.24,WS=5.95] 、 43[status=5.0,P=1703.04,WS=6.52] 、 44[status=5.0,P=1404.26,WS=6.43] 、 45[status=5.0,P=2199.01,WS=6.94] 、 46[status=5.0,P=1895.97,WS=6.19] 、 47[status=5.0,P=1213.9,WS=5.99] 、 48[status=5.0,P=2022.31,WS=7.81] 、 49[status=5.0,P=1889.99,WS=6.78] 、 51[status=5.0,P=1457.19,WS=6.97] 、 52[status=5.0,P=2189.62,WS=6.78] 、 53[status=5.0,P=1641.58,WS=6.91] 、 54[status=5.0,P=2974.13,WS=7.13] 、 55[status=5.0,P=1755.11,WS=6.89] 、 56[status=5.0,P=2113.65,WS=6.89] 、 57[status=5.0,P=1428.16,WS=6.36] 、 58[status=5.0,P=2050.48,WS=6.87]"
83,2024-03-02 05:32:00,2024-03-04 10:38:00,3187,3187,0,0.0,,171,171,0,0.053655,0.053655,0.0,23.986223,23.986223,-0.0,0.0,0.007526,0.007526,0.721703,0.721703,607.957013,607.957013,-0.0,0.0,0.190762,0.190762,1.230839,1.230839,1,1,1.0,0,0,False,True,True,False,
84,2024-03-04 10:39:00,2024-03-04 10:42:00,4,4,57,293.17463,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,4,4,0,1.0,1.0,0.0,0.0,22520.432,22520.432,,0.0,5630.108,0.0,5630.108,0.365708,22520.432,22520.066292,-61579.422369,0.091427,5630.108,0.091427,5630.108,0,4,4.0,0,4,False,False,False,False,"1[status=5.0,P=4525.22,WS=13.44] 、 2[status=5.0,P=4504.73,WS=14.29] 、 3[status=5.0,P=4532.9,WS=14.98] 、 4[status=5.0,P=4444.55,WS=10.83] 、 5[status=5.0,P=4538.02,WS=12.6] 、 6[status=5.0,P=4456.07,WS=10.33] 、 7[status=5.0,P=4554.67,WS=10.33] 、 8[status=5.0,P=4611.01,WS=14.25] 、 9[status=5.0,P=4503.45,WS=14.48] 、 10[status=5.0,P=4470.16,WS=10.96] 、 11[status=5.0,P=4538.02,WS=14.87] 、 12[status=5.0,P=4495.77,WS=11.42] 、 13[status=5.0,P=4552.11,WS=15.13] 、 14[status=5.0,P=4658.39,WS=14.15] 、 15[status=5.0,P=4462.48,WS=10.89] 、 16[status=5.0,P=4219.19,WS=13.89] 、 17[status=5.0,P=4476.56,WS=10.78] 、 18[status=5.0,P=4480.4,WS=11.14] 、 19[status=5.0,P=4536.74,WS=13.86] 、 20[status=5.0,P=4544.43,WS=12.43] 、 21[status=5.0,P=4489.37,WS=13.13] 、 22[status=5.0,P=4536.74,WS=12.91] 、 23[status=5.0,P=4554.67,WS=13.4] 、 24[status=5.0,P=4630.22,WS=13.07] 、 25[status=5.0,P=4607.17,WS=13.15] 、 26[status=5.0,P=4640.46,WS=13.86] 、 27[status=5.0,P=4523.94,WS=12.73] 、 28[status=5.0,P=4525.22,WS=12.8] 、 30[status=5.0,P=4581.56,WS=13.25] 、 31[status=5.0,P=4596.93,WS=11.87] 、 32[status=5.0,P=4546.99,WS=13.49] 、 33[status=5.0,P=4463.76,WS=10.73] 、 34[status=5.0,P=4507.29,WS=12.86] 、 35[status=5.0,P=4502.17,WS=14.07] 、 36[status=5.0,P=4532.9,WS=13.77] 、 37[status=5.0,P=4523.94,WS=13.76] 、 38[status=5.0,P=4536.74,WS=14.75] 、 39[status=5.0,P=6463.01,WS=12.53] 、 40[status=5.0,P=6544.11,WS=14.72] 、 41[status=5.0,P=6405.82,WS=15.49] 、 42[status=5.0,P=6470.7,WS=15.66] 、 43[status=5.0,P=6512.53,WS=14.69] 、 44[status=5.0,P=6498.01,WS=11.9] 、 45[status=5.0,P=6390.45,WS=14.47] 、 46[status=5.0,P=6523.62,WS=14.28] 、 47[status=5.0,P=2517.43,WS=14.73] 、 48[status=5.0,P=6497.16,WS=13.79] 、 49[status=5.0,P=6505.7,WS=15.09] 、 50[status=5.0,P=6515.94,WS=15.2] 、 51[status=5.0,P=6494.6,WS=14.67] 、 52[status=5.0,P=6501.43,WS=15.3] 、 53[status=5.0,P=6486.06,WS=15.29] 、 54[status=5.0,P=6490.33,WS=15.22] 、 55[status=5.0,P=6499.72,WS=15.17] 、 56[status=5.0,P=6473.26,WS=15.39] 、 57[status=5.0,P=6509.97,WS=15.46] 、 58[status=5.0,P=6469.84,WS=14.01]"
85,2024-03-04 10:43:00,2024-03-05 02:03:00,921,921,0,0.0,,91,91,0,0.098806,0.098806,0.0,32.500195,32.500195,-0.0,0.0,0.035288,0.035288,2.085654,2.085654,205.967563,205.967563,0.0,-0.0,0.223635,0.223635,2.581236,2.581236,6,6,0.0,0,0,False,True,False,False,
86,2024-03-05 02:04:00,2024-03-05 02:15:00,12,12,1,0.91298,20,6,5,-1,0.5,0.416667,-0.083333,4.318272,1.382528,-2.935744,0.679842,0.359856,0.115211,1.334793,0.794745,9.178788,5.574956,-3.603832,0.392626,0.764899,0.46458,1.83852,1.303834,0,0,0.0,0,12,True,True,True,False,"20[status=5.0,P=912.98,WS=5.37]"
87,2024-03-05 02:16:00,2024-03-10 12:15:00,7800,7800,0,0.0,,385,385,0,0.049359,0.049359,0.0,78.419978,78.419978,0.0,-0.0,0.010054,0.010054,7.08899,7.08899,1287.381702,1287.381702,-0.0,0.0,0.165049,0.165049,7.572571,7.572571,5,5,0.0,0,0,False,False,True,False,
88,2024-03-10 12:16:00,2024-03-10 12:35:00,20,20,1,0.73756,15,2,3,1,0.1,0.15,0.05,0.121145,0.513743,0.392598,-3.240729,0.006057,0.025687,0.100931,0.349755,3.848418,6.749694,2.901276,-0.753888,0.192421,0.337485,0.594008,0.88292,0,0,0.0,0,20,False,False,False,False,"15[status=5.0,P=737.56,WS=4.93]"
89,2024-03-10 12:36:00,2024-03-14 19:36:00,6181,6181,0,0.0,,396,396,0,0.064067,0.064067,0.0,108.174092,108.174092,0.0,-0.0,0.017501,0.017501,5.081504,5.081504,1144.994616,1144.994616,-0.0,0.0,0.185244,0.185244,5.778214,5.778214,15,15,0.0,0,0,False,False,True,False,
90,2024-03-14 19:37:00,2024-03-14 19:42:00,6,6,1,0.36024,42,3,5,2,0.5,0.833333,0.333333,1.019894,1.804322,0.784428,-0.769127,0.169982,0.30072,0.456352,0.704539,3.110841,4.510403,1.399562,-0.449898,0.518473,0.751734,0.918295,1.168125,0,1,0.0,0,6,False,False,False,False,"42[status=5.0,P=360.24,WS=4.05]"
91,2024-03-14 19:43:00,2024-03-23 02:13:00,11911,11900,0,0.0,,511,511,0,0.042902,0.042902,0.0,90.124686,90.124686,-0.0,0.0,0.007574,0.007574,4.74225,4.74225,1932.140638,1932.140638,0.0,-0.0,0.162365,0.162365,5.241353,5.241353,7,7,0.0,0,0,False,True,False,False,
92,2024-03-23 02:14:00,2024-03-23 04:09:00,116,116,1,0.42768,33,55,84,29,0.474138,0.724138,0.25,11.159118,23.120235,11.961118,-1.071869,0.096199,0.199312,0.800924,1.077644,57.39555,76.654525,19.258974,-0.335548,0.494789,0.660815,1.304063,1.578397,1,6,0.0,0,116,False,False,False,False,"33[status=5.0,P=427.68,WS=4.45]"
93,2024-03-23 04:10:00,2024-03-24 09:51:00,1782,1782,0,0.0,,209,209,0,0.117284,0.117284,0.0,62.041763,62.041763,-0.0,0.0,0.034816,0.034816,2.083439,2.083439,419.306339,419.306339,-0.0,0.0,0.235301,0.235301,2.5727,2.5727,22,22,0.0,0,0,False,True,True,False,
94,2024-03-24 09:52:00,2024-03-24 10:15:00,24,24,1,4.52778,33,1,22,21,0.041667,0.916667,0.875,0.57996,6.4433,5.86334,-10.109898,0.024165,0.268471,0.57996,0.554388,4.121825,18.633782,14.511957,-3.520761,0.171743,0.776408,1.092918,1.079731,0,0,0.0,0,24,False,False,False,False,"33[status=5.0,P=4527.78,WS=11.34]"
95,2024-03-24 10:16:00,2024-03-24 10:54:00,39,39,0,0.0,,1,1,0,0.025641,0.025641,0.0,0.08129,0.08129,0.0,0.0,0.002084,0.002084,0.08129,0.08129,5.957524,5.957524,0.0,-0.0,0.152757,0.152757,0.592987,0.592987,0,0,0.0,0,0,False,False,False,False,
96,2024-03-24 10:55:00,2024-03-25 02:19:00,925,925,1,4.55211,33,323,677,354,0.349189,0.731892,0.382703,155.293555,224.008568,68.715013,-0.442485,0.167885,0.242171,2.361458,1.451167,442.022615,651.407365,209.38475,-0.473697,0.477862,0.704224,2.912226,1.962985,1,101,0.0,0,925,False,False,False,False,"33[status=5.0,P=4552.11,WS=10.59]"
97,2024-03-25 02:20:00,2024-03-28 04:08:00,4429,4429,0,0.0,,391,391,0,0.088282,0.088282,0.0,95.545079,95.545079,0.0,-0.0,0.021573,0.021573,2.11651,2.11651,930.805192,930.805192,0.0,-0.0,0.210161,0.210161,2.637417,2.637417,20,20,0.0,0,0,False,False,False,False,
98,2024-03-28 04:09:00,2024-03-28 04:12:00,4,4,1,0.46353,33,1,4,3,0.25,1.0,0.75,0.09778,0.5289,0.43112,-4.409068,0.024445,0.132225,0.09778,0.377986,1.17022,2.272457,1.102237,-0.941906,0.292555,0.568114,0.53596,0.814549,0,0,0.0,0,4,False,False,False,False,"33[status=5.0,P=463.53,WS=4.53]"
99,2024-03-28 04:13:00,2024-03-29 15:27:00,2115,2115,0,0.0,,501,501,0,0.236879,0.236879,0.0,130.274781,130.274781,-0.0,0.0,0.061596,0.061596,1.374169,1.374169,669.02884,669.02884,-0.0,0.0,0.316326,0.316326,1.875102,1.875102,38,38,0.0,0,0,False,True,True,False,
100,2024-03-29 15:28:00,2024-03-29 15:31:00,4,4,58,36.91751,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,4,4,0,1.0,1.0,0.0,0.0,2803.06216,2803.06216,,0.0,700.76554,0.0,700.76554,0.526889,2803.06216,2802.535271,-5319.02591,0.131722,700.76554,0.131722,700.76554,0,4,4.0,0,4,False,False,False,False,"1[status=5.0,P=806.7,WS=5.39] 、 2[status=5.0,P=765.73,WS=5.4] 、 3[status=5.0,P=778.53,WS=5.34] 、 4[status=5.0,P=773.41,WS=5.23] 、 5[status=5.0,P=829.75,WS=5.52] 、 6[status=5.0,P=758.04,WS=5.53] 、 7[status=5.0,P=800.3,WS=5.53] 、 8[status=5.0,P=750.36,WS=5.28] 、 9[status=5.0,P=699.14,WS=5.11] 、 10[status=5.0,P=779.81,WS=5.27] 、 11[status=5.0,P=786.22,WS=5.29] 、 12[status=5.0,P=872.01,WS=5.66] 、 13[status=5.0,P=971.89,WS=5.78] 、 14[status=5.0,P=1037.19,WS=5.9] 、 15[status=5.0,P=1071.76,WS=5.98] 、 16[status=5.0,P=983.41,WS=5.91] 、 17[status=5.0,P=1151.15,WS=6.2] 、 18[status=5.0,P=1084.57,WS=5.9] 、 19[status=5.0,P=783.65,WS=5.45] 、 20[status=5.0,P=704.26,WS=5.13] 、 21[status=5.0,P=432.8,WS=4.22] 、 22[status=5.0,P=473.78,WS=5.15] 、 23[status=5.0,P=413.6,WS=4.53] 、 24[status=5.0,P=724.75,WS=5.17] 、 25[status=5.0,P=577.5,WS=4.84] 、 26[status=5.0,P=749.08,WS=5.09] 、 27[status=5.0,P=385.42,WS=4.3] 、 28[status=5.0,P=509.63,WS=4.79] 、 29[status=5.0,P=371.34,WS=4.16] 、 30[status=5.0,P=494.27,WS=4.49] 、 31[status=5.0,P=669.69,WS=5.23] 、 32[status=5.0,P=810.54,WS=5.47] 、 33[status=5.0,P=605.67,WS=4.81] 、 34[status=5.0,P=613.35,WS=4.93] 、 35[status=5.0,P=569.81,WS=4.84] 、 36[status=5.0,P=306.03,WS=3.92] 、 37[status=5.0,P=542.92,WS=4.68] 、 38[status=5.0,P=476.34,WS=4.61] 、 39[status=5.0,P=547.19,WS=4.87] 、 40[status=5.0,P=552.31,WS=4.51] 、 41[status=5.0,P=468.66,WS=4.71] 、 42[status=5.0,P=542.07,WS=4.69] 、 43[status=5.0,P=656.46,WS=4.75] 、 44[status=5.0,P=638.53,WS=4.85] 、 45[status=5.0,P=607.8,WS=4.67] 、 46[status=5.0,P=673.53,WS=5.06] 、 47[status=5.0,P=892.92,WS=5.28] 、 48[status=5.0,P=503.66,WS=4.61] 、 49[status=5.0,P=331.22,WS=4.36] 、 50[status=5.0,P=353.41,WS=4.59] 、 51[status=5.0,P=402.07,WS=4.42] 、 52[status=5.0,P=369.63,WS=4.41] 、 53[status=5.0,P=251.83,WS=4.22] 、 54[status=5.0,P=571.09,WS=4.77] 、 55[status=5.0,P=198.9,WS=4.31] 、 56[status=5.0,P=527.56,WS=4.87] 、 57[status=5.0,P=214.27,WS=4.61] 、 58[status=5.0,P=700.0,WS=5.02]"
101,2024-03-29 15:32:00,2024-03-30 11:38:00,1207,1207,0,0.0,,54,54,0,0.044739,0.044739,0.0,11.99146,11.99146,0.0,-0.0,0.009935,0.009935,1.427549,1.427549,188.345275,188.345275,0.0,-0.0,0.156044,0.156044,1.916933,1.916933,4,4,8.0,0,0,False,False,False,False,
102,2024-03-30 11:39:00,2024-03-30 16:11:00,273,273,1,6e-05,11,28,28,0,0.102564,0.102564,0.0,6.181537,6.181157,-0.00038,6.1e-05,0.022643,0.022642,1.052055,1.052086,65.399399,65.397683,-0.001716,2.6e-05,0.239558,0.239552,1.567093,1.567125,1,1,0.0,0,273,False,True,True,False,"11[status=6.0,P=0.06,WS=5.83]"
103,2024-03-30 16:12:00,2024-04-09 07:08:00,13857,13845,0,0.0,,1035,1035,0,0.074691,0.074691,0.0,281.465212,281.465212,-0.0,0.0,0.02033,0.02033,22.13513,22.13513,2662.821846,2662.821846,0.0,-0.0,0.192331,0.192331,22.65769,22.65769,24,24,15.0,0,0,False,True,False,False,
104,2024-04-09 07:09:00,2024-04-09 09:49:00,161,161,1,0.13332,15,5,5,0,0.031056,0.031056,0.0,1.167568,1.206379,0.038811,-0.033241,0.007252,0.007493,0.754178,0.737186,26.175631,26.532703,0.357071,-0.013641,0.162582,0.164799,1.254959,1.238118,0,0,0.0,0,161,False,False,False,False,"15[status=2.0,P=133.32,WS=7.47]"
105,2024-04-09 09:50:00,2024-04-09 12:58:00,189,189,2,0.1334,11、15,6,7,1,0.031746,0.037037,0.005291,0.487794,0.423418,-0.064376,0.131973,0.002581,0.00224,0.152588,0.116056,32.807728,32.273416,-0.534313,0.016286,0.173586,0.170759,0.652512,0.574458,0,0,0.0,0,189,False,True,True,False,"11[status=6.0,P=0.08,WS=6.42] 、 15[status=2.0,P=133.32,WS=7.47]"
106,2024-04-09 12:59:00,2024-04-09 19:02:00,364,364,1,0.13332,15,2,1,-1,0.005495,0.002747,-0.002747,0.069987,2.504635,2.434648,-34.78715,0.000192,0.006881,0.039445,2.504635,35.320405,34.476843,-0.843561,0.023883,0.097034,0.094717,0.847483,3.255086,0,0,0.0,0,364,True,False,True,False,"15[status=2.0,P=133.32,WS=7.47]"
107,2024-04-09 19:03:00,2024-04-11 12:55:00,2513,2513,0,0.0,,204,204,0,0.081178,0.081178,0.0,162.983752,162.983752,0.0,-0.0,0.064856,0.064856,9.765812,9.765812,568.199911,568.199911,-0.0,0.0,0.226104,0.226104,10.270217,10.270217,19,19,4.0,0,0,False,False,True,False,
108,2024-04-11 12:56:00,2024-04-11 13:52:00,57,57,19,21.99184,39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、57、58,41,57,16,0.719298,1.0,0.280702,103.527667,655.627973,552.100307,-5.332877,1.816275,11.502245,6.887443,14.588791,126.365269,683.229677,556.864408,-4.406784,2.216935,11.986486,7.364721,15.112676,4,57,0.0,0,57,False,False,False,False,"39[status=5.0,P=792.19,WS=4.95] 、 40[status=5.0,P=811.82,WS=5.27] 、 41[status=5.0,P=895.48,WS=5.17] 、 42[status=5.0,P=1139.63,WS=5.91] 、 43[status=5.0,P=590.73,WS=4.85] 、 44[status=5.0,P=710.24,WS=5.27] 、 45[status=5.0,P=791.34,WS=5.34] 、 46[status=5.0,P=851.95,WS=5.19] 、 47[status=5.0,P=1016.7,WS=5.59] 、 48[status=5.0,P=1412.8,WS=7.51] 、 49[status=5.0,P=1399.99,WS=7.18] 、 50[status=5.0,P=1392.31,WS=6.28] 、 51[status=5.0,P=1321.46,WS=6.93] 、 52[status=5.0,P=1417.92,WS=6.36] 、 53[status=5.0,P=1493.04,WS=6.42] 、 54[status=5.0,P=1538.28,WS=6.53] 、 55[status=5.0,P=1440.97,WS=6.9] 、 57[status=5.0,P=1571.58,WS=6.6] 、 58[status=5.0,P=1403.41,WS=7.36]"
