分段ID,开始时间,结束时间,持续时长min,纳入统计分钟数,冻结风机数,重复风机功率之和MW,风机编号列表,原异常分钟数,修正后异常分钟数,异常分钟数变化量,原异常占比,修正后异常占比,异常占比变化量,原异常程度总和,修正后异常程度总和,异常程度变化量,异常程度下降率,原平均异常程度,修正后平均异常程度,原最大异常程度,修正后最大异常程度,原偏离程度总和,修正后偏离程度总和,偏离程度变化量,偏离程度下降率,原平均偏离程度,修正后平均偏离程度,原最大偏离程度,修正后最大偏离程度,原负损耗分钟数,修正后负损耗分钟数,站端功率重复硬异常分钟数,物理越限硬异常分钟数,风机联合重复标记分钟数,是否异常分钟减少,是否异常程度下降,是否偏离程度下降,是否全部修正为正常,重复详情
11,2023-10-14 14:16:00,2023-10-14 19:30:00,315,315,1,0.9053,19,27,203,176,0.085714,0.644444,0.55873,3.593904,50.838599,47.244696,-13.145787,0.011409,0.161392,0.490625,1.037921,68.307144,181.958548,113.651405,-1.663829,0.216848,0.577646,0.991867,1.546462,0,10,0.0,0,315,False,False,False,False,"19[status=5.0,P=905.3,WS=5.7]"
12,2023-10-14 19:31:00,2023-10-15 09:27:00,837,837,0,0.0,,66,66,0,0.078853,0.078853,0.0,8.252579,8.252579,0.0,-0.0,0.00986,0.00986,0.858672,0.858672,111.052755,111.052755,-0.0,0.0,0.13268,0.13268,1.786353,1.786353,0,0,0.0,0,0,False,False,True,False,
13,2023-10-15 09:28:00,2023-10-15 15:43:00,376,376,1,2e-05,4,48,48,0,0.12766,0.12766,0.0,6.750176,6.750913,0.000737,-0.000109,0.017953,0.017955,0.45255,0.452551,61.084277,61.086272,0.001995,-3.3e-05,0.162458,0.162463,0.909572,0.90958,0,0,0.0,0,376,False,False,False,False,"4[status=6.0,P=0.02,WS=3.18]"
14,2023-10-15 15:44:00,2023-10-21 11:59:00,8416,8416,0,0.0,,720,720,0,0.085551,0.085551,0.0,119.234493,119.234493,0.0,-0.0,0.014168,0.014168,6.439034,6.439034,1551.863977,1551.863977,0.0,-0.0,0.184394,0.184394,6.922471,6.922471,13,13,0.0,0,0,False,False,False,False,
15,2023-10-21 12:00:00,2023-10-21 12:03:00,4,4,37,11.70446,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、30、31、32、33、34、35、36、38、39,0,4,4,0.0,1.0,1.0,0.0,738.271972,738.271972,,0.0,184.567993,0.0,188.872174,1.52733,738.54275,737.01542,-482.551501,0.381833,184.635687,0.41723,188.94371,0,4,0.0,0,4,False,False,False,False,"1[status=5.0,P=571.09,WS=4.96] 、 2[status=5.0,P=448.17,WS=4.5] 、 3[status=5.0,P=279.14,WS=3.94] 、 4[status=5.0,P=236.89,WS=3.79] 、 5[status=5.0,P=576.22,WS=4.86] 、 6[status=5.0,P=382.86,WS=4.31] 、 7[status=5.0,P=220.24,WS=4.31] 、 8[status=5.0,P=263.78,WS=3.96] 、 9[status=5.0,P=181.83,WS=3.52] 、 10[status=5.0,P=567.25,WS=4.95] 、 11[status=5.0,P=309.88,WS=4.24] 、 12[status=5.0,P=157.5,WS=3.41] 、 13[status=5.0,P=151.1,WS=3.4] 、 14[status=5.0,P=242.01,WS=3.79] 、 15[status=5.0,P=345.73,WS=4.25] 、 16[status=5.0,P=170.3,WS=3.43] 、 17[status=5.0,P=66.59,WS=2.87] 、 18[status=5.0,P=217.68,WS=3.69] 、 19[status=5.0,P=192.07,WS=3.56] 、 20[status=5.0,P=533.96,WS=4.84] 、 21[status=5.0,P=601.83,WS=4.87] 、 22[status=5.0,P=452.01,WS=4.62] 、 23[status=5.0,P=458.41,WS=4.49] 、 24[status=5.0,P=199.76,WS=3.38] 、 25[status=5.0,P=290.67,WS=4.03] 、 26[status=5.0,P=574.94,WS=5.13] 、 27[status=5.0,P=341.89,WS=4.22] 、 28[status=5.0,P=532.68,WS=4.74] 、 30[status=5.0,P=408.47,WS=4.3] 、 31[status=5.0,P=256.1,WS=3.92] 、 32[status=5.0,P=560.85,WS=4.75] 、 33[status=5.0,P=281.71,WS=3.9] 、 34[status=5.0,P=215.12,WS=3.71] 、 35[status=5.0,P=188.23,WS=3.59] 、 36[status=5.0,P=62.74,WS=2.97] 、 38[status=5.0,P=53.78,WS=3.03] 、 39[status=5.0,P=110.98,WS=3.86]"
16,2023-10-21 12:04:00,2023-10-21 14:34:00,151,150,0,0.0,,4,4,0,0.02649,0.02649,0.0,0.30156,0.30156,0.0,-0.0,0.00201,0.00201,0.192003,0.192003,27.798188,27.798188,0.0,0.0,0.185321,0.185321,0.699382,0.699382,0,0,0.0,0,0,False,False,False,False,
17,2023-10-21 14:35:00,2023-10-21 14:38:00,4,4,34,7.68246,1、2、3、4、5、7、8、9、11、12、13、14、17、18、19、22、23、24、25、26、27、28、30、31、32、33、34、35、36、37、38、39、47、52,4,4,0,1.0,1.0,0.0,0.0,367.417488,367.417488,,0.0,91.854372,0.0,91.854372,1.040939,367.417488,366.376549,-351.967445,0.260235,91.854372,0.260235,91.854372,0,4,4.0,0,4,False,False,False,False,"1[status=5.0,P=454.57,WS=4.4] 、 2[status=5.0,P=525.0,WS=5.0] 、 3[status=5.0,P=467.38,WS=4.71] 、 4[status=5.0,P=107.56,WS=3.12] 、 5[status=5.0,P=192.07,WS=3.64] 、 7[status=5.0,P=167.74,WS=2.94] 、 8[status=5.0,P=52.5,WS=2.9] 、 9[status=5.0,P=233.05,WS=3.72] 、 11[status=5.0,P=204.88,WS=3.59] 、 12[status=5.0,P=265.06,WS=3.87] 、 13[status=5.0,P=270.18,WS=3.87] 、 14[status=5.0,P=220.24,WS=3.74] 、 17[status=5.0,P=367.5,WS=4.38] 、 18[status=5.0,P=403.35,WS=4.43] 、 19[status=5.0,P=33.29,WS=2.67] 、 22[status=5.0,P=507.07,WS=4.79] 、 23[status=5.0,P=275.3,WS=3.95] 、 24[status=5.0,P=204.88,WS=3.59] 、 25[status=5.0,P=66.59,WS=2.91] 、 26[status=5.0,P=172.86,WS=3.43] 、 27[status=5.0,P=110.12,WS=3.28] 、 28[status=5.0,P=274.02,WS=3.86] 、 30[status=5.0,P=243.29,WS=3.93] 、 31[status=5.0,P=227.93,WS=3.79] 、 32[status=5.0,P=307.32,WS=4.11] 、 33[status=5.0,P=352.13,WS=4.33] 、 34[status=5.0,P=227.93,WS=3.69] 、 35[status=5.0,P=140.85,WS=3.33] 、 36[status=5.0,P=112.68,WS=3.16] 、 37[status=5.0,P=226.65,WS=3.71] 、 38[status=5.0,P=154.94,WS=3.4] 、 39[status=5.0,P=25.61,WS=3.7] 、 47[status=5.0,P=75.12,WS=3.71] 、 52[status=5.0,P=12.8,WS=3.67]"
18,2023-10-21 14:39:00,2023-10-23 17:57:00,3079,3079,0,0.0,,169,169,0,0.054888,0.054888,0.0,20.057893,20.057893,-0.0,0.0,0.006514,0.006514,2.120047,2.120047,396.157531,396.157531,0.0,0.0,0.128664,0.128664,3.00318,3.00318,0,0,0.0,0,0,False,True,False,False,
19,2023-10-23 17:58:00,2023-10-23 18:02:00,5,5,1,5e-05,16,1,1,0,0.2,0.2,0.0,0.255568,0.255594,2.6e-05,-0.0001,0.051114,0.051119,0.255568,0.255594,1.92923,1.929203,-2.7e-05,1.4e-05,0.385846,0.385841,0.760744,0.76077,0,0,0.0,0,5,False,False,True,False,"16[status=6.0,P=0.05,WS=5.41]"
20,2023-10-23 18:03:00,2023-10-28 14:25:00,6983,6982,0,0.0,,505,505,0,0.072318,0.072318,0.0,148.013012,148.013012,-0.0,0.0,0.021199,0.021199,15.485231,15.485231,998.744475,998.744475,0.0,0.0,0.143046,0.143046,15.981855,15.981855,0,0,0.0,0,0,False,True,False,False,
