字段名,重复值,开始时间,结束时间,持续长度
ACTIVE_POWER_STATION,0.0,2023-10-03 11:47:00,2023-10-03 11:51:00,5
ACTIVE_POWER_STATION,0.0,2023-10-03 11:55:00,2023-10-03 11:58:00,4
ACTIVE_POWER_STATION,0.0,2023-10-03 16:20:00,2023-10-03 16:25:00,6
ACTIVE_POWER_STATION,0.0,2023-10-03 16:31:00,2023-10-03 16:35:00,5
ACTIVE_POWER_STATION,0.0,2023-10-03 17:31:00,2023-10-03 17:34:00,4
ACTIVE_POWER_STATION,0.0,2023-10-03 17:44:00,2023-10-03 17:49:00,6
ACTIVE_POWER_STATION,0.0,2023-10-03 18:18:00,2023-10-03 18:23:00,6
ACTIVE_POWER_STATION,0.0,2023-10-03 19:14:00,2023-10-03 19:21:00,8
ACTIVE_POWER_STATION,0.0,2023-10-03 20:11:00,2023-10-03 20:17:00,7
ACTIVE_POWER_STATION,0.0,2023-10-07 18:57:00,2023-10-07 19:03:00,7
ACTIVE_POWER_STATION,0.0,2023-10-07 20:42:00,2023-10-07 20:48:00,7
ACTIVE_POWER_STATION,0.0,2023-10-07 20:50:00,2023-10-07 20:57:00,8
ACTIVE_POWER_STATION,0.0,2023-10-07 21:05:00,2023-10-07 21:19:00,15
ACTIVE_POWER_STATION,0.0,2023-10-07 21:50:00,2023-10-07 21:53:00,4
ACTIVE_POWER_STATION,0.0,2023-10-07 23:02:00,2023-10-07 23:07:00,6
ACTIVE_POWER_STATION,0.0,2023-10-08 09:12:00,2023-10-08 09:19:00,8
ACTIVE_POWER_STATION,0.0,2023-10-08 09:39:00,2023-10-08 09:54:00,16
ACTIVE_POWER_STATION,0.0,2023-10-08 09:56:00,2023-10-08 10:05:00,10
ACTIVE_POWER_STATION,0.0,2023-10-08 10:13:00,2023-10-08 10:20:00,8
ACTIVE_POWER_STATION,0.0,2023-10-08 10:27:00,2023-10-08 10:48:00,22
ACTIVE_POWER_STATION,0.0,2023-10-08 10:53:00,2023-10-08 11:19:00,27
ACTIVE_POWER_STATION,0.0,2023-10-08 11:25:00,2023-10-08 11:35:00,11
ACTIVE_POWER_STATION,0.0,2023-10-08 11:37:00,2023-10-08 11:47:00,11
ACTIVE_POWER_STATION,0.0,2023-10-08 11:49:00,2023-10-08 12:05:00,17
ACTIVE_POWER_STATION,0.0,2023-10-08 12:12:00,2023-10-08 12:16:00,5
