场站,阈值,分段类别,分段数,异常分段数,异常分段占比,覆盖分钟数,纳入统计分钟数,原异常分钟数,原异常分钟占纳入统计分钟比例,原异常程度总和,原平均异常程度_按异常分钟,原最大异常程度,原偏离程度总和,原平均偏离程度_按纳入统计分钟,原最大偏离程度
LGXRFD,0.19,重复正功率=0，且冻结风机数=0,42,3,0.07142857142857142,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.19,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.2,重复正功率>0分段,75,54,0.72,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.2,重复正功率=0，且冻结风机数=0,42,3,0.07142857142857142,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.2,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.21,重复正功率>0分段,75,54,0.72,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.21,重复正功率=0，且冻结风机数=0,42,3,0.07142857142857142,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.21,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.22,重复正功率>0分段,75,54,0.72,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.22,重复正功率=0，且冻结风机数=0,42,2,0.047619047619047616,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.22,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.23,重复正功率>0分段,75,53,0.7066666666666667,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.23,重复正功率=0，且冻结风机数=0,42,2,0.047619047619047616,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.23,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.24,重复正功率>0分段,75,53,0.7066666666666667,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.24,重复正功率=0，且冻结风机数=0,42,2,0.047619047619047616,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.24,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.25,重复正功率>0分段,75,52,0.6933333333333334,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.25,重复正功率=0，且冻结风机数=0,42,2,0.047619047619047616,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.25,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.26,重复正功率>0分段,75,50,0.6666666666666666,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.26,重复正功率=0，且冻结风机数=0,42,2,0.047619047619047616,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.26,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.27,重复正功率>0分段,75,50,0.6666666666666666,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.27,重复正功率=0，且冻结风机数=0,42,2,0.047619047619047616,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.27,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.28,重复正功率>0分段,75,49,0.6533333333333333,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.28,重复正功率=0，且冻结风机数=0,42,2,0.047619047619047616,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.28,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.29,重复正功率>0分段,75,49,0.6533333333333333,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.29,重复正功率=0，且冻结风机数=0,42,1,0.023809523809523808,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
