P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,region,bin_source,sigma_local,sigma_sample_n,var_local,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,interp_order
3.0,3.1,3.0610973,2.718234849999999,184,1,0.1,20,low,low_lookup,0.42970768820646305,184,0.18464869730374286,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,25
3.1,3.2,3.1469097,2.782471000000001,217,1,0.1,20,low,low_lookup,0.42212473931244543,217,0.1781892955396,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,26
3.2,3.3000000000000003,3.2491615,2.7421906999999988,267,1,0.1,20,low,low_lookup,0.4499652920477565,267,0.2024687640476228,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,27
3.3000000000000003,3.4000000000000004,3.3506844,2.7549254000000007,247,1,0.1,20,low,low_lookup,0.4960835338559329,247,0.2460988725629905,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,28
3.4000000000000004,3.5,3.447006,2.7213674,310,1,0.1,20,low,low_lookup,0.4862239046858003,310,0.2364136854879062,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,29
3.5,3.6,3.550992,2.7704587,304,1,0.1,20,low,low_lookup,0.4641817294350512,304,0.21546467794131507,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,30
3.6,3.7,3.65008865,2.7648547999999993,336,1,0.1,20,low,low_lookup,0.4847737164125039,336,0.23500555612439075,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,31
3.7,3.8000000000000003,3.7502308,2.7991132999999997,365,1,0.1,20,low,low_lookup,0.48215758791619523,365,0.23247593958516352,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,32
3.8000000000000003,3.9000000000000004,3.8508422500000004,2.6990694000000013,306,1,0.1,20,low,low_lookup,0.5092791572790841,306,0.2593652600388941,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,33
3.9000000000000004,4.0,3.951557,2.745530799999999,323,1,0.1,20,low,low_lookup,0.47493396790773496,323,0.22556227387258543,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,34
4.0,4.1000000000000005,4.051503,2.6720714,301,1,0.1,20,low,low_lookup,0.46647088482272786,301,0.21759508638729863,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,35
4.1000000000000005,4.2,4.152754,2.6780000000000017,333,1,0.1,20,low,low_lookup,0.4777773244765899,333,0.22827117178400866,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,36
4.2,4.3,4.2472925,2.6870829999999994,321,1,0.1,20,low,low_lookup,0.49243698677393194,321,0.24249418594298963,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,37
4.3,4.4,4.3486876,2.6708415000000008,303,1,0.1,20,low,low_lookup,0.4807357124141578,303,0.23110682519034784,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,38
4.4,4.5,4.451583,2.674558,323,1,0.1,20,low,low_lookup,0.4637448699504024,323,0.21505930440531565,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,39
