P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
3.7,3.8000000000000003,3.7502308,2.7991132999999997,365,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.8000000000000003,3.9000000000000004,3.8508422500000004,2.6990694000000013,306,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.9000000000000004,4.0,3.951557,2.745530799999999,323,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.0,4.1000000000000005,4.051503,2.6720714,301,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.1000000000000005,4.2,4.152754,2.6780000000000017,333,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.2,4.3,4.2472925,2.6870829999999994,321,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.3,4.4,4.3486876,2.6708415000000008,303,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.4,4.5,4.451583,2.674558,323,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.5,4.6000000000000005,4.5489354,2.6669480000000005,301,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.6000000000000005,4.7,4.655749650000001,2.6020700499999987,314,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.7,4.800000000000001,4.747515,2.608378,313,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.800000000000001,4.9,4.85117335,2.5908232499999997,316,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
