开始时间,结束时间,hard_anomaly_source,字段名,重复值,持续长度
2024-04-16 09:18:00,2024-04-16 09:30:00,fan_joint_repeat,,,
2024-05-08 17:08:00,2024-05-08 19:34:00,fan_joint_repeat,,,
2024-05-13 11:14:00,2024-05-13 11:18:00,fan_joint_repeat,,,
2024-07-25 13:26:00,2024-07-25 14:02:00,fan_joint_repeat,,,
2024-01-25 09:29:00,2024-02-02 18:34:00,fan_joint_repeat,,,
2024-04-24 07:55:00,2024-04-24 12:50:00,fan_joint_repeat,,,
2024-06-13 11:34:00,2024-06-13 11:37:00,fan_joint_repeat,,,
2024-06-13 11:45:00,2024-06-13 11:48:00,fan_joint_repeat,,,
2024-06-13 11:56:00,2024-06-13 12:01:00,fan_joint_repeat,,,
2024-06-13 12:03:00,2024-06-13 12:09:00,fan_joint_repeat,,,
2024-06-13 12:14:00,2024-06-13 12:20:00,fan_joint_repeat,,,
2024-06-13 12:32:00,2024-06-13 12:37:00,fan_joint_repeat,,,
2024-04-22 17:50:00,2024-04-22 18:15:00,fan_joint_repeat,,,
2023-11-02 14:21:00,2023-11-02 14:36:00,fan_joint_repeat,,,
2024-07-09 21:03:00,2024-07-09 21:18:00,fan_joint_repeat,,,
2024-01-25 09:22:00,2024-02-02 18:34:00,fan_joint_repeat,,,
2024-04-11 13:53:00,2024-04-11 14:14:00,fan_joint_repeat,,,
2023-10-28 16:00:00,2023-10-28 16:07:00,fan_joint_repeat,,,
2023-10-29 18:28:00,2023-10-29 18:32:00,fan_joint_repeat,,,
2024-05-23 11:10:00,2024-05-23 13:41:00,fan_joint_repeat,,,
2023-11-30 08:08:00,2023-11-30 08:12:00,fan_joint_repeat,,,
2024-02-03 04:54:00,2024-02-03 04:58:00,fan_joint_repeat,,,
2024-02-29 05:04:00,2024-02-29 05:09:00,fan_joint_repeat,,,
2024-02-29 09:12:00,2024-02-29 09:35:00,fan_joint_repeat,,,
2024-02-29 11:17:00,2024-02-29 11:31:00,fan_joint_repeat,,,
2024-03-23 02:14:00,2024-03-23 04:09:00,fan_joint_repeat,,,
2024-03-24 09:52:00,2024-03-24 10:15:00,fan_joint_repeat,,,
2024-03-24 10:55:00,2024-03-25 02:19:00,fan_joint_repeat,,,
2024-03-28 04:09:00,2024-03-28 04:12:00,fan_joint_repeat,,,
2024-07-01 16:22:00,2024-07-01 16:28:00,fan_joint_repeat,,,
2024-04-14 16:32:00,2024-04-14 16:48:00,fan_joint_repeat,,,
2024-01-25 09:37:00,2024-02-02 18:37:00,fan_joint_repeat,,,
2023-12-28 16:20:00,2023-12-28 16:27:00,fan_joint_repeat,,,
2023-09-25 21:36:00,2023-09-25 21:50:00,fan_joint_repeat,,,
2024-03-02 05:16:00,2024-03-02 05:31:00,fan_joint_repeat,,,
2023-12-20 14:38:00,2023-12-20 14:41:00,fan_joint_repeat,,,
2024-04-11 12:56:00,2024-04-11 16:18:00,fan_joint_repeat,,,
2024-04-12 10:50:00,2024-04-12 10:54:00,fan_joint_repeat,,,
2024-07-11 13:25:00,2024-07-11 13:28:00,fan_joint_repeat,,,
2024-03-14 19:37:00,2024-03-14 19:42:00,fan_joint_repeat,,,
2024-04-12 11:12:00,2024-04-12 11:30:00,fan_joint_repeat,,,
2023-09-28 09:23:00,2023-09-28 09:27:00,fan_joint_repeat,,,
2023-09-28 09:15:00,2023-09-28 09:19:00,station_active_power_repeat,ACTIVE_POWER_STATION,20.150639,5.0
2023-09-28 09:24:00,2023-09-28 09:27:00,station_active_power_repeat,ACTIVE_POWER_STATION,14.459442,4.0
2023-09-28 09:34:00,2023-09-28 09:37:00,station_active_power_repeat,ACTIVE_POWER_STATION,9.818231,4.0
2023-10-21 14:35:00,2023-10-21 14:38:00,station_active_power_repeat,ACTIVE_POWER_STATION,4.5927186,4.0
2023-12-18 11:59:00,2023-12-18 12:02:00,station_active_power_repeat,ACTIVE_POWER_STATION,53.155403,4.0
2023-12-20 14:38:00,2023-12-20 14:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,281.92532,4.0
2023-12-20 15:04:00,2023-12-20 15:07:00,station_active_power_repeat,ACTIVE_POWER_STATION,282.6878,4.0
2023-12-20 15:09:00,2023-12-20 15:12:00,station_active_power_repeat,ACTIVE_POWER_STATION,282.57855,4.0
2023-12-28 17:38:00,2023-12-28 17:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,7.5332074,4.0
2023-12-29 15:53:00,2023-12-29 15:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,9.378817,4.0
2024-01-14 02:01:00,2024-01-14 02:04:00,station_active_power_repeat,ACTIVE_POWER_STATION,287.1995,4.0
2024-01-14 02:07:00,2024-01-14 02:10:00,station_active_power_repeat,ACTIVE_POWER_STATION,287.10272,4.0
