P_left,P_right,P_med,n,base_bin_count,bin_width,min_bin_samples,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q50,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,region,quantile_rule,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,quantile_basis,ultra_low_power_max_mw,ultra_low_power_loss_ratio_min
0.0,0.6000000000000001,0.58908856,131,6,0.1,20,2.2549600599999997,2.5160509380000002,2.5794359130000006,2.66521362,2.7248931,2.7853178599999997,2.81621869,2.8317925399999995,2.858336835,2.8918649999999997,3.3352515999999985,3.974469739999999,3.981946577,3.9962317380000005,4.002689327000001,4.055460528000001,4.078658630000001,4.107457092000001,4.159195735999999,4.20537484,4.32401095,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
0.6000000000000001,0.7000000000000001,0.6405911,397,1,0.1,20,2.5536768824000005,2.6029846311999996,2.644405696,2.8050395479999994,2.83401992,2.8695462600000003,2.8771388671999993,2.9028744739999994,2.920334978799999,2.9353357979999997,3.3864588999999996,3.9936624199999997,4.0190549851999995,4.069860500399998,4.121576592000003,4.1422484456,4.165973690000001,4.2053713336000005,4.2402921592,4.2892108848,4.447639112,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
0.7000000000000001,0.8,0.7317494,163,1,0.1,20,2.504083144,2.5655083587999994,2.6641689599999996,2.753778176,2.7836483659999995,2.8140155360000008,2.8413858280000004,2.8862658436000004,2.9063479977999997,2.9584962040000007,3.4645738300000017,4.124154720000001,4.158895051399999,4.223268332,4.263296593999999,4.276885031199999,4.30336459,4.330806276,4.426993984,4.507320138,4.531274202800001,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
0.8,0.9,0.8606144,55,1,0.1,20,2.4716088772,2.4938039776000003,2.5304182564000004,2.5763780168,2.6445332959999996,2.7162673063999994,2.7924747308,2.8589152560000004,2.9186410380000005,2.940245876,3.5604215999999997,4.186346620000001,4.225851523800001,4.234680615600001,4.2547791106,4.291269464799999,4.338648039999999,4.394737191999999,4.484005268799999,4.587243419200001,4.6032417968,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
0.9,1.0,0.93899,35,1,0.1,20,2.5684450539999992,2.5887611079999995,2.6114529459999996,2.6721573279999995,2.7328617099999994,2.7879190359999995,2.800623442,2.813327848,2.8283964700000004,2.8544981000000003,3.52963384,4.281985725999999,4.340719131399998,4.361554953999999,4.374269866,4.386984778,4.388814355,4.389192554,4.389570752999999,4.521987867199999,4.662657413599998,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.0,1.2000000000000002,1.1821337,55,2,0.1,20,2.2798468260000004,2.349430016,2.4902135239999996,2.5915468559999995,2.59918602,2.607063888,2.6152401359999997,2.6233993599999996,2.6315468799999997,2.63957864,3.1158233000000006,4.1233688599999985,4.164614144,4.302716228000001,4.388213870000001,4.39719596,4.526030089999999,4.750745851999999,4.900875897999999,5.019601432000001,5.066924800000001,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.2000000000000002,1.3,1.2560109000000002,270,1,0.1,20,2.105691099999999,2.130692494,2.229106329999999,2.3514094640000005,2.3998593250000004,2.456607431999999,2.4932594540000004,2.503328668,2.5153195319999995,2.5464713900000002,3.0082412000000005,3.4418664699999995,3.467897216,3.5085053360000003,3.540057509,3.612866961999999,3.62607326,3.678157568000001,3.7414156649999977,3.8545578779999996,3.9499312420000003,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.3,1.4000000000000001,1.3523648,407,1,0.1,20,2.1027223920000004,2.201009284000001,2.2973310459999996,2.3947603280000003,2.4522145099999997,2.4818511800000005,2.5106876199999992,2.5226606,2.5469842740000006,2.5711770800000004,3.108285499999999,3.6233768400000006,3.640312432,3.6571605240000005,3.724485852,3.759346471999999,3.7784803499999993,3.822255032,3.9185672959999978,4.026103052,4.1310246799999994,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.4000000000000001,1.5,1.45168105,468,1,0.1,20,2.084474578999999,2.1417634560000005,2.3189722409999995,2.376176815999999,2.4062869549999997,2.420583818,2.439037783,2.4742752040000004,2.5064802770000005,2.53040812,3.0728107,3.627193299999999,3.6546204149999992,3.665674291999999,3.713550023,3.7192706480000006,3.771983729999999,3.7831738479999992,3.8507213680000016,3.8998650859999997,3.9613415850000004,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.5,1.6,1.5466307000000001,484,1,0.1,20,2.119788867,2.2270748279999997,2.2891464480000003,2.332619868,2.3771939349999998,2.3868085459999993,2.4254422840000007,2.4430907920000005,2.489064323,2.5342022500000008,3.1144029500000006,3.6220120299999996,3.6383662000000005,3.6784198600000004,3.7211499530000003,3.744358597999999,3.7572171249999986,3.7772052879999993,3.8189633989999994,3.9108283239999997,4.0313793590000015,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.6,1.7000000000000002,1.6509438,545,1,0.1,20,2.1696317240000003,2.2834144920000004,2.3290341200000007,2.372223672,2.42731818,2.4797340880000003,2.499964608,2.517883623999999,2.5498406520000003,2.5735058199999994,3.1379211000000016,3.66549596,3.6746647639999983,3.7189838079999995,3.733302564,3.7640749119999994,3.80257578,3.8376850079999993,3.915292172,3.994274928,4.227682103999998,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.7000000000000002,1.8,1.74755055,498,1,0.1,20,2.158098213,2.3103937359999995,2.372945924,2.4377022279999996,2.4721152499999994,2.509984306,2.5356622119999987,2.5699523160000006,2.598121398,2.62774046,3.1939109500000002,3.73355926,3.7513368000000007,3.7659636760000006,3.805786659000001,3.8569924399999995,3.936335219999998,4.030443643999997,4.054366336999999,4.167943185999999,4.272527390999999,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.8,1.9000000000000001,1.8467337,493,1,0.1,20,2.218539896,2.28558042,2.386613532,2.4312845759999995,2.4890052000000007,2.5338148,2.5442627559999993,2.584089188,2.616538144,2.65166634,3.195619700000001,3.7400526800000002,3.7787584400000007,3.808004240000001,3.8270676679999998,3.8699901799999976,3.9360871399999993,3.9787323440000013,4.062824504,4.2189149760000015,4.394006612,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
1.9000000000000001,2.0,1.94863115,484,1,0.1,20,2.2552896280000017,2.363299482,2.441667772000001,2.487585907999999,2.5463832749999997,2.5854093559999995,2.6277545330000014,2.643881548,2.6619981129999988,2.678951000000001,3.223848550000001,3.729041939999999,3.751453454999999,3.765995172000001,3.817254382,3.863759368,3.915727319999998,3.987543887999999,4.0512266,4.128938452,4.3406998969999995,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.0,2.1,2.0526950499999996,470,1,0.1,20,2.2669589009999993,2.340687874,2.4519225870000003,2.508206191999999,2.5241706099999988,2.5544502319999998,2.593816991,2.6252357440000003,2.662097963000001,2.68096235,3.2475163499999997,3.7579485000000017,3.788100564000001,3.8254927439999995,3.8545301989999996,3.885623172000001,3.9144733999999994,3.9614188599999984,4.070164328,4.1236770200000015,4.247662673000001,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.1,2.2,2.1441144000000003,394,1,0.1,20,2.238204128999999,2.326578002000001,2.4439809980000016,2.5318188080000006,2.5982356700000007,2.6145765979999998,2.620823751,2.670191991999999,2.696105847,2.7219672400000006,3.26321115,3.8292394399999994,3.8537404630000007,3.8865030480000002,3.9200074569999996,3.963131826,4.009399889999999,4.078220787999999,4.131713754,4.281155242,4.339209520000001,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.2,2.3000000000000003,2.245834,407,1,0.1,20,2.265655766000001,2.39351088,2.494302048000001,2.5205502880000004,2.598084350000001,2.6570095519999994,2.6926334280000006,2.7321249119999993,2.770356608,2.7918011000000007,3.283406199999998,3.8251066799999998,3.8830099980000012,3.915841724000001,3.9579152300000002,3.9889918080000015,4.012747259999999,4.05676016,4.166467056000001,4.231418639999999,4.285617502,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.3000000000000003,2.4000000000000004,2.3538198,349,1,0.1,20,2.154944436,2.260952856,2.3131551640000008,2.363128256,2.4425965799999996,2.5180455119999996,2.5666091040000008,2.6192844040000005,2.659273504,2.72888948,3.3360195999999993,3.823973599999999,3.841827643999998,3.8757807359999994,3.904893371999999,3.938012987999999,3.99938,4.076627351999998,4.145392664000001,4.173095140000001,4.342613376000001,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.4000000000000004,2.5,2.4480548,267,1,0.1,20,2.260166986,2.386630024,2.435303352,2.456474944,2.5585710199999996,2.6253176799999993,2.7470926939999996,2.7689448199999998,2.7910982919999996,2.8114305999999996,3.3843574000000003,3.8789884,3.906028288,3.980236916,4.023554048000001,4.05316344,4.09258215,4.126460471999999,4.172174208,4.231716576,4.367053123999999,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.5,2.6,2.5478649,184,1,0.1,20,2.204416051,2.3952085420000016,2.4185831679999996,2.491672024000001,2.5488790150000007,2.590294062,2.616112608999999,2.66982884,2.7057821940000006,2.7148719000000003,3.33449735,3.9420137400000006,3.965380272,4.06349556,4.079174476,4.092614823999999,4.1323246299999985,4.264702812000001,4.321918573,4.351427242000001,4.374298414,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.6,2.7,2.6429990500000002,170,1,0.1,20,1.9839079560000001,2.0592899579999995,2.289519019,2.371162008,2.4132425649999996,2.437989415999999,2.4535762710000015,2.4771224439999986,2.506841042000002,2.5142639399999984,3.2716034999999994,3.98907749,4.005489643999999,4.016264492000001,4.026823572000001,4.071736524000001,4.131679034999999,4.202017511999999,4.265837405,4.374402734,4.577642223000001,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.7,2.8000000000000003,2.74684715,154,1,0.1,20,1.9589595800000008,2.1091093880000007,2.1364569939999996,2.1554304600000003,2.2171763149999997,2.246019398000001,2.2578178190000004,2.286119740000001,2.3305815349999994,2.3481287600000016,3.1142722499999995,3.768191549999999,3.7921312400000002,3.809085612000001,3.8125580980000007,3.819639203999999,3.9039671600000005,4.016131547999999,4.198512110999999,4.345301375999999,4.503493163,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.8000000000000003,2.9000000000000004,2.84401925,160,1,0.1,20,1.8794105599999995,1.9825063420000004,2.0419941940000004,2.068904835999999,2.117263969999999,2.1752420439999995,2.2321464179999997,2.2602955919999994,2.280040560999999,2.2916790700000007,2.871637549999998,3.520692620000001,3.5671158890000014,3.599761524,3.6841102290000007,3.736275725999997,3.7762431950000015,3.851417543999999,4.046421187,4.267536619999998,4.488698206,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
2.9000000000000004,3.0,2.9472703,152,1,0.1,20,1.9037043159999991,1.995051358000001,2.0412090729999997,2.0797467440000004,2.0968920099999995,2.103732042,2.1092448050000003,2.1206337280000005,2.151464752999999,2.1828150800000006,2.8035225999999995,3.359378,3.3685484990000005,3.3759548440000002,3.392310426,3.4076174220000013,3.51972876,3.5682300559999987,3.641742951,3.670142926000001,3.7183876770000013,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.0,3.1,3.0610973,184,1,0.1,20,1.714148476,1.895846189999999,1.9129825159999994,1.938605671999999,1.980978529999999,2.1062153800000005,2.1297193320000005,2.1654422760000003,2.1840901730000004,2.2385643799999992,2.718234849999999,3.2905362,3.306358223,3.3571657839999993,3.3703719429999985,3.3876658200000005,3.406111580000001,3.5123017680000004,3.5603718299999993,3.5995074359999992,3.692415326999998,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.1,3.2,3.1468108,221,1,0.1,20,1.79428224,1.9184227199999992,1.9582018599999997,2.0358026399999987,2.1728053000000016,2.1838385000000007,2.2075497600000005,2.213772199999999,2.2258170399999995,2.2538755000000013,2.7991929,3.3424453000000005,3.3845822000000005,3.4371636800000003,3.4863741400000006,3.5013777599999987,3.5410066999999987,3.576231879999998,3.763950560000002,3.9473845399999985,17.877775600000003,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.2,3.3000000000000003,3.2491615,269,1,0.1,20,1.71174384,1.7836668959999997,1.8922326560000005,1.962684359999999,2.01371232,2.039353772,2.0820224560000002,2.1092828999999993,2.1417155599999993,2.1575111199999992,2.7442335999999994,3.2888540999999996,3.302826143999999,3.3826672479999984,3.399841528000001,3.4153054079999996,3.4697413799999994,3.5309716719999984,3.6476711199999987,3.7524236799999997,3.9992309880000003,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.3000000000000003,3.4000000000000004,3.3506844,247,1,0.1,20,1.5984778140000009,1.6447009920000002,1.7362178339999996,1.8432967240000004,1.91027376,1.9872606680000005,2.0157646160000007,2.0311121200000013,2.053634544000001,2.0781844,2.7549254000000007,3.366713279999999,3.3921361260000014,3.4138023640000013,3.429201204000001,3.46640108,3.52778275,3.5593539720000003,3.61286957,3.6544723039999973,3.753908839999998,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
