region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
low,low_lookup,9.4,3.3000000000000003,3.4000000000000004,3.3506844,0.4960835338559329,247,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.4000000000000004,3.5,3.447006,0.4862239046858003,310,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.5,3.6,3.550992,0.4641817294350512,304,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.6,3.7,3.65008865,0.4847737164125039,336,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.7,3.8000000000000003,3.7502308,0.48215758791619523,365,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.8000000000000003,3.9000000000000004,3.8508422500000004,0.5092791572790841,306,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.9000000000000004,4.0,3.951557,0.47493396790773496,323,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.0,4.1000000000000005,4.051503,0.46647088482272786,301,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.1000000000000005,4.2,4.152754,0.4777773244765899,333,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.2,4.3,4.2472925,0.49243698677393194,321,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.3,4.4,4.3486876,0.4807357124141578,303,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.4,4.5,4.451583,0.4637448699504024,323,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.5,4.6000000000000005,4.5489354,0.5309309563594964,301,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.6000000000000005,4.7,4.655749650000001,0.4778394658705333,314,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.7,4.800000000000001,4.747515,0.4898776889923939,313,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.800000000000001,4.9,4.85117335,0.5051220575883708,316,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.9,5.0,4.9487082000000004,0.5117535675601179,300,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.0,5.1000000000000005,5.0512426,0.5292672810871722,334,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.1000000000000005,5.2,5.1508136,0.5012061804051303,305,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.2,5.300000000000001,5.2492695,0.48748316649750034,295,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.300000000000001,5.4,5.351615300000001,0.5393861633623261,296,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.4,5.5,5.453198,0.5452533862762482,271,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.5,5.6000000000000005,5.548029,0.5167408976408534,289,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.6000000000000005,5.7,5.65215675,0.5363430298986499,282,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.7,5.800000000000001,5.7458425,0.5276119884205974,302,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.800000000000001,5.9,5.855293,0.4838170035231842,280,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.9,6.0,5.9486604,0.49743083622225315,289,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.0,6.1000000000000005,6.0509434,0.5031393455293648,290,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.1000000000000005,6.2,6.1500255,0.5470096639142689,285,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
