场站,阈值,分段类别,分段数,异常分段数,异常分段占比,覆盖分钟数,纳入统计分钟数,原异常分钟数,原异常分钟占纳入统计分钟比例,原异常程度总和,原平均异常程度_按异常分钟,原最大异常程度,原偏离程度总和,原平均偏离程度_按纳入统计分钟,原最大偏离程度
JMZSFD,0.14,重复正功率=0，且冻结风机数=0,91,9,0.0989010989010989,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.14,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.15,重复正功率>0分段,134,71,0.5298507462686567,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.15,重复正功率=0，且冻结风机数=0,91,9,0.0989010989010989,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.15,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.16,重复正功率>0分段,134,71,0.5298507462686567,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.16,重复正功率=0，且冻结风机数=0,91,7,0.07692307692307693,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.16,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.17,重复正功率>0分段,134,71,0.5298507462686567,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.17,重复正功率=0，且冻结风机数=0,91,5,0.054945054945054944,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.17,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.18,重复正功率>0分段,134,71,0.5298507462686567,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.18,重复正功率=0，且冻结风机数=0,91,5,0.054945054945054944,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.18,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.19,重复正功率>0分段,134,71,0.5298507462686567,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.19,重复正功率=0，且冻结风机数=0,91,5,0.054945054945054944,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.19,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.2,重复正功率>0分段,134,71,0.5298507462686567,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.2,重复正功率=0，且冻结风机数=0,91,5,0.054945054945054944,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.2,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.21,重复正功率>0分段,134,70,0.5223880597014925,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.21,重复正功率=0，且冻结风机数=0,91,5,0.054945054945054944,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.21,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.22,重复正功率>0分段,134,70,0.5223880597014925,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.22,重复正功率=0，且冻结风机数=0,91,5,0.054945054945054944,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.22,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.23,重复正功率>0分段,134,70,0.5223880597014925,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.23,重复正功率=0，且冻结风机数=0,91,5,0.054945054945054944,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.23,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.24,重复正功率>0分段,134,69,0.5149253731343284,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.24,重复正功率=0，且冻结风机数=0,91,4,0.04395604395604396,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.24,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.25,重复正功率>0分段,134,69,0.5149253731343284,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.25,重复正功率=0，且冻结风机数=0,91,4,0.04395604395604396,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.25,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.26,重复正功率>0分段,134,66,0.4925373134328358,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.26,重复正功率=0，且冻结风机数=0,91,4,0.04395604395604396,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.26,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.27,重复正功率>0分段,134,66,0.4925373134328358,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
