P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
3.2,3.3000000000000003,3.2500804,2.7525455,200,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.3000000000000003,3.4000000000000004,3.3555703,2.83877355,210,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.4000000000000004,3.5,3.4495880000000003,2.74545105,238,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.5,3.6,3.5456069,2.756346,203,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.6,3.7,3.64499775,2.7681327,202,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.7,3.8000000000000003,3.7512584,2.7358568,203,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.8000000000000003,3.9000000000000004,3.850626,2.7332408,195,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
3.9000000000000004,4.0,3.9491885,2.6806586,222,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.0,4.1000000000000005,4.050638,2.6788273,201,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.1000000000000005,4.2,4.149346100000001,2.6467266499999997,198,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.2,4.3,4.2548125,2.64421915,230,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.3,4.4,4.3441076,2.626501,205,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.4,4.5,4.453234,2.6190143,206,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.5,4.6000000000000005,4.5507145,2.61578845,172,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.6000000000000005,4.7,4.64748045,2.4937989,188,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.7,4.800000000000001,4.7446527,2.515822,187,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.800000000000001,4.9,4.8524213,2.6047927,181,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
4.9,5.0,4.947369500000001,2.6530743500000002,170,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.0,5.1000000000000005,5.04786035,2.575757,176,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.1000000000000005,5.2,5.1526794,2.5277456000000003,171,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.2,5.300000000000001,5.25059265,2.5036035,170,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.300000000000001,5.4,5.349453,2.5448673,183,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.4,5.5,5.4535537,2.5991204999999997,169,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.5,5.6000000000000005,5.5454288,2.5550076499999994,166,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.6000000000000005,5.7,5.6564274,2.6020746999999993,177,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.7,5.800000000000001,5.7475543,2.4601499999999996,171,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.800000000000001,5.9,5.843733,2.5686394999999997,183,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
5.9,6.0,5.9506073,2.4648179999999993,159,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
6.0,6.1000000000000005,6.051178,2.4585688,162,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
6.1000000000000005,6.2,6.153277,2.5064409999999997,173,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
