region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
low,low_lookup,9.4,2.7,2.8000000000000003,2.7517296499999997,0.4209498181417186,192,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.8000000000000003,2.9000000000000004,2.8515346,0.4807456983906744,227,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.9000000000000004,3.0,2.9512332,0.47664254576462783,192,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.0,3.1,3.04857375,0.46099117619125035,216,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.1,3.2,3.149919,0.44857186045052533,209,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.2,3.3000000000000003,3.2500804,0.4746959876875035,200,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.3000000000000003,3.4000000000000004,3.3555703,0.4592568112404899,210,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.4000000000000004,3.5,3.4495880000000003,0.4639101731663752,238,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.5,3.6,3.5456069,0.44861677011888185,203,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.6,3.7,3.64499775,0.4629751217083227,202,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.7,3.8000000000000003,3.7512584,0.46041355601462863,203,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.8000000000000003,3.9000000000000004,3.850626,0.4789848481408154,195,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,3.9000000000000004,4.0,3.9491885,0.4598232731948444,222,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.0,4.1000000000000005,4.050638,0.5055635195463053,201,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,4.0,8.0,7.6446495,0.5297918302117833,7006,2,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.1000000000000005,4.2,4.149346100000001,0.476142357812841,198,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.2,4.3,4.2548125,0.4625696342901715,230,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.3,4.4,4.3441076,0.4764782464066905,205,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.4,4.5,4.453234,0.5042438384974952,206,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.5,4.6000000000000005,4.5507145,0.48370219736902736,172,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.6000000000000005,4.7,4.64748045,0.4998123806417506,188,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.7,4.800000000000001,4.7446527,0.5134767771367946,187,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.800000000000001,4.9,4.8524213,0.5216601121092619,181,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,4.9,5.0,4.947369500000001,0.46076615914665897,170,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.0,5.1000000000000005,5.04786035,0.4626881986855548,176,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.1000000000000005,5.2,5.1526794,0.4918164838657165,171,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.2,5.300000000000001,5.25059265,0.5039279414813618,170,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.300000000000001,5.4,5.349453,0.586111563195105,183,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.4,5.5,5.4535537,0.5237560571701542,169,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.5,5.6000000000000005,5.5454288,0.4743000692887321,166,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.6000000000000005,5.7,5.6564274,0.5117740408494509,177,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.7,5.800000000000001,5.7475543,0.5268304669056071,171,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.800000000000001,5.9,5.843733,0.4571461632441842,183,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,5.9,6.0,5.9506073,0.5234774253730877,160,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.0,6.1000000000000005,6.051178,0.5202102264696417,164,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.1000000000000005,6.2,6.153277,0.4927096239204956,174,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.2,6.300000000000001,6.2528462000000005,0.5087549492248828,164,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.300000000000001,6.4,6.3484764,0.5063641165993674,179,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.4,6.5,6.44864365,0.5515152181524658,157,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.5,6.6000000000000005,6.5492599,0.49882459970392823,145,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.6000000000000005,6.7,6.6521187,0.5521690050731232,166,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.7,6.800000000000001,6.756666,0.524602078508159,172,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.800000000000001,6.9,6.848711,0.530124830085754,182,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.9,7.0,6.94879,0.5159514119776788,156,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.0,7.1000000000000005,7.04289245,0.5141298620847116,180,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.1000000000000005,7.2,7.1491346,0.5750203447639053,174,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.2,7.300000000000001,7.24109625,0.5304873476558499,164,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.300000000000001,7.4,7.3522544,0.5116959613230563,151,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.4,7.5,7.457827,0.5983435974635841,158,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.5,7.6000000000000005,7.541653999999999,0.4756561024913406,185,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.6000000000000005,7.7,7.6545872500000005,0.6244459310260135,169,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.7,7.800000000000001,7.7456365,0.5116848246104595,175,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.800000000000001,7.9,7.856657,0.5018926076869393,173,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.9,8.0,7.9475255,0.5771750091487753,154,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.0,8.1,8.045494,0.4883356066747362,177,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,8.0,10.0,9.023527,0.6803058976236295,3429,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.1,8.200000000000001,8.151682000000001,0.5379097997899602,180,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.200000000000001,8.3,8.248766,0.5662913625535357,186,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.3,8.4,8.334925,0.5595659483696975,151,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.4,8.5,8.456667,0.5348859062048661,190,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
