开始时间,结束时间,hard_anomaly_source,字段名,重复值,持续长度
2023-11-06 20:38:00,2023-11-06 20:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,365.36945,4.0
2023-11-10 13:51:00,2023-11-10 13:54:00,station_active_power_repeat,ACTIVE_POWER_STATION,371.74255,4.0
2023-11-10 14:33:00,2023-11-10 14:36:00,station_active_power_repeat,ACTIVE_POWER_STATION,377.77155,4.0
2023-11-10 18:26:00,2023-11-10 18:29:00,station_active_power_repeat,ACTIVE_POWER_STATION,374.06412,4.0
2023-11-10 18:45:00,2023-11-10 18:48:00,station_active_power_repeat,ACTIVE_POWER_STATION,377.85773,4.0
2023-11-12 14:38:00,2023-11-12 14:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.66315,4.0
2023-11-16 06:11:00,2023-11-16 06:15:00,station_active_power_repeat,ACTIVE_POWER_STATION,383.09515,5.0
2023-11-16 06:16:00,2023-11-16 06:19:00,station_active_power_repeat,ACTIVE_POWER_STATION,382.8661,4.0
2023-11-16 11:22:00,2023-11-16 11:27:00,station_active_power_repeat,ACTIVE_POWER_STATION,388.44196,6.0
2023-11-16 13:12:00,2023-11-16 13:15:00,station_active_power_repeat,ACTIVE_POWER_STATION,388.12775,4.0
2023-11-16 18:40:00,2023-11-16 18:44:00,station_active_power_repeat,ACTIVE_POWER_STATION,387.72952,5.0
2023-11-16 22:23:00,2023-11-16 22:26:00,station_active_power_repeat,ACTIVE_POWER_STATION,387.95007,4.0
2023-11-17 09:52:00,2023-11-17 09:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,388.4112,5.0
2023-11-17 10:16:00,2023-11-17 10:21:00,station_active_power_repeat,ACTIVE_POWER_STATION,388.3078,6.0
2023-11-17 10:22:00,2023-11-17 10:27:00,station_active_power_repeat,ACTIVE_POWER_STATION,388.42993,6.0
2023-11-17 12:46:00,2023-11-17 12:51:00,station_active_power_repeat,ACTIVE_POWER_STATION,383.79926,6.0
2023-11-23 14:37:00,2023-11-23 14:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,381.7915,5.0
2023-11-23 17:25:00,2023-11-23 17:30:00,station_active_power_repeat,ACTIVE_POWER_STATION,381.39285,6.0
2023-11-23 20:38:00,2023-11-23 20:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,385.64078,4.0
2023-11-29 15:52:00,2023-11-29 15:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,386.53705,5.0
2023-11-29 16:05:00,2023-11-29 16:08:00,station_active_power_repeat,ACTIVE_POWER_STATION,386.36298,4.0
2023-11-29 18:11:00,2023-11-29 18:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,386.0028,4.0
2023-11-29 19:46:00,2023-11-29 19:51:00,station_active_power_repeat,ACTIVE_POWER_STATION,385.77856,6.0
2023-11-29 20:23:00,2023-11-29 20:26:00,station_active_power_repeat,ACTIVE_POWER_STATION,385.8148,4.0
2023-11-29 20:29:00,2023-11-29 20:33:00,station_active_power_repeat,ACTIVE_POWER_STATION,385.75247,5.0
2023-12-06 11:37:00,2023-12-06 11:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.5208,5.0
2023-12-06 11:43:00,2023-12-06 11:47:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.63483,5.0
2023-12-06 15:08:00,2023-12-06 15:11:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.2598,4.0
2023-12-06 15:50:00,2023-12-06 15:54:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.18683,5.0
2023-12-06 15:56:00,2023-12-06 16:01:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.22302,6.0
2023-12-07 18:39:00,2023-12-07 18:44:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.09674,6.0
2023-12-07 18:50:00,2023-12-07 18:55:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.00037,6.0
2023-12-07 19:26:00,2023-12-07 19:29:00,station_active_power_repeat,ACTIVE_POWER_STATION,367.93573,4.0
2023-12-07 19:56:00,2023-12-07 20:01:00,station_active_power_repeat,ACTIVE_POWER_STATION,367.9087,6.0
2023-12-07 20:02:00,2023-12-07 20:07:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.0631,6.0
2023-12-07 20:20:00,2023-12-07 20:23:00,station_active_power_repeat,ACTIVE_POWER_STATION,367.92664,4.0
2023-12-07 20:38:00,2023-12-07 20:42:00,station_active_power_repeat,ACTIVE_POWER_STATION,367.9905,5.0
2023-12-07 21:02:00,2023-12-07 21:07:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.0499,6.0
2023-12-07 22:27:00,2023-12-07 22:31:00,station_active_power_repeat,ACTIVE_POWER_STATION,363.81424,5.0
2023-12-07 22:50:00,2023-12-07 22:55:00,station_active_power_repeat,ACTIVE_POWER_STATION,363.98615,6.0
2023-12-07 23:15:00,2023-12-07 23:18:00,station_active_power_repeat,ACTIVE_POWER_STATION,363.75388,4.0
2023-12-08 00:26:00,2023-12-08 00:29:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.09418,4.0
2023-12-08 00:32:00,2023-12-08 00:37:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.03644,6.0
2023-12-08 00:38:00,2023-12-08 00:43:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.05145,6.0
2023-12-08 00:52:00,2023-12-08 00:55:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.00012,4.0
2023-12-08 00:58:00,2023-12-08 01:01:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.0148,4.0
2023-12-08 01:26:00,2023-12-08 01:31:00,station_active_power_repeat,ACTIVE_POWER_STATION,363.9949,6.0
2023-12-08 01:33:00,2023-12-08 01:37:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.1996,5.0
2023-12-10 07:51:00,2023-12-10 07:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.48608,6.0
2023-12-10 07:57:00,2023-12-10 08:02:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.4596,6.0
2023-12-10 08:09:00,2023-12-10 08:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.13867,6.0
2023-12-10 08:15:00,2023-12-10 08:18:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.04416,4.0
2023-12-10 08:21:00,2023-12-10 08:26:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.17273,6.0
2023-12-10 08:40:00,2023-12-10 08:43:00,station_active_power_repeat,ACTIVE_POWER_STATION,379.92206,4.0
2023-12-10 08:51:00,2023-12-10 08:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.12347,6.0
2023-12-10 08:59:00,2023-12-10 09:02:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.12488,4.0
2023-12-10 21:10:00,2023-12-10 21:13:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.7753,4.0
2023-12-10 21:16:00,2023-12-10 21:19:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.57632,4.0
2023-12-10 21:22:00,2023-12-10 21:26:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.61893,5.0
2023-12-11 18:41:00,2023-12-11 18:44:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.05545,4.0
2023-12-11 22:00:00,2023-12-11 22:03:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.2561,4.0
2023-12-15 05:56:00,2023-12-15 05:59:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.35956,4.0
2023-12-15 07:01:00,2023-12-15 07:05:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.6095,5.0
2023-12-15 08:18:00,2023-12-15 08:21:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.53177,4.0
2023-12-15 08:26:00,2023-12-15 08:29:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.56424,4.0
2023-12-15 09:02:00,2023-12-15 09:05:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.52576,4.0
2023-12-15 10:13:00,2023-12-15 10:17:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.25964,5.0
2023-12-15 13:55:00,2023-12-15 13:59:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.64728,5.0
2023-12-15 14:36:00,2023-12-15 14:39:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.4261,4.0
2023-12-15 16:12:00,2023-12-15 16:16:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.56195,5.0
2023-12-20 14:38:00,2023-12-20 14:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.35828,4.0
2023-12-20 14:58:00,2023-12-20 15:02:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.45367,5.0
2023-12-20 15:04:00,2023-12-20 15:07:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.3737,4.0
2024-01-05 15:33:00,2024-01-05 15:36:00,station_active_power_repeat,ACTIVE_POWER_STATION,3.8544612,4.0
2024-01-14 00:44:00,2024-01-14 00:47:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.7418,4.0
2024-01-14 00:54:00,2024-01-14 00:57:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.45505,4.0
2024-01-14 01:30:00,2024-01-14 01:33:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.74445,4.0
2024-01-14 01:36:00,2024-01-14 01:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.4115,6.0
2024-01-14 02:30:00,2024-01-14 02:34:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.68497,5.0
