timestamp,ACTIVE_POWER_STATION,CT_eff,FAN_SUM,is_bad_fan_sum,is_bad_ct_eff,is_physical_outlier
2023-09-25 10:19:00,3.943123,3.943123,7.560572999999999e+31,True,False,True
2023-10-22 00:55:00,-3.5697727,0.0,7.542852e+24,True,False,True
2023-11-30 15:13:00,326.08698,326.08698,9.148295e+19,True,False,True
2023-12-02 07:01:00,-4.4919367,0.0,144406284000000.03,True,False,True
2024-01-20 17:00:00,364.55698,364.55698,2.954046500000037e+16,True,False,True
2024-01-30 11:04:00,172.13315,172.13315,826358.768,True,False,True
2024-03-09 20:08:00,62.38452,62.38452,9.369605e+34,True,False,True
2024-03-14 06:12:00,10.646458,10.646458,3.8329322e+30,True,False,True
2024-04-11 09:52:00,0.84472346,0.84472346,2.7153726e+20,True,False,True
2024-05-02 07:00:00,14.633343,14.633343,407526563000016.44,True,False,True
2024-07-04 15:05:00,101.24191,101.24191,9.916152499999998e+32,True,False,True
2024-07-24 19:39:00,179.01312,179.01312,3.2360016000000003e+21,True,False,True
