station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,negative_loss_as_anomaly,coarse_filter_enabled,coarse_filter_k,rated_power_mw,rated_power_margin,hard_removed_physical_outliers,fan_joint_hard_anomaly_segments,station_power_repeat_hard_anomaly_segments,station_power_repeat_rule_enabled,station_power_repeat_min_length,station_power_repeat_value_min,coarse_removed_samples,normal_samples,anomaly_samples,negative_loss_samples,model_type,model_samples,sigma_bins_count,low_bins_count,high_bins_count
step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,False,True,5.0,400.0,1.05,12,62,363,True,3,0.0,2348,395652,47931,4961,median_bin_interpolation,303771,281,86,195
step1-插值损耗模型-仅正功率,LGXRFD,FAN_SEG,风机总功率分段模型,FAN_eff,FAN_eff,10.0,10.0,False,True,5.0,400.0,1.05,12,62,363,True,3,0.0,3091,395652,47931,4961,median_bin_interpolation,303798,297,100,197
